Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-11-28,16:30 (18:30),Premier League,Matchweek 13,Sun,Home,D,1,1,Manchester Utd,2.7,0.9,65,40041,Jorginho,3-4-3,Anthony Taylor,Match Report,
2021-12-01,19:30 (21:30),Premier League,Matchweek 14,Wed,Away,W,2,1,Watford,0.9,1.0,49,20388,César Azpilicueta,3-4-3,David Coote,Match Report,
2021-12-04,12:30 (14:30),Premier League,Matchweek 15,Sat,Away,L,2,3,West Ham,1.1,1.8,63,59942,Jorginho,3-4-3,Andre Marriner,Match Report,
2021-12-08,20:45 (19:45),Champions Lg,Group stage,Wed,Away,D,3,3,ru Zenit,2.7,2.6,54,29349,César Azpilicueta,3-4-1-2,Serdar Gözübüyük,Match Report,
2021-12-11,15:00 (17:00),Premier League,Matchweek 16,Sat,Home,W,3,2,Leeds United,2.5,1.4,57,39959,César Azpilicueta,3-4-3,Chris Kavanagh,Match Report,
2021-12-16,19:45 (21:45),Premier League,Matchweek 17,Thu,Home,D,1,1,Everton,2.9,0.6,80,13933,César Azpilicueta,3-4-3,Michael Oliver,Match Report,
2021-12-19,14:00 (16:00),Premier League,Matchweek 18,Sun,Away,D,0,0,Wolves,0.9,0.2,63,30631,César Azpilicueta,3-4-3,David Coote,Match Report,
2021-12-22,19:45 (21:45),EFL Cup,Quarter-finals,Wed,Away,W,2,0,Brentford,,,67,16577,César Azpilicueta,3-4-1-2,Andre Marriner,Match Report,
2021-12-26,17:30 (19:30),Premier League,Matchweek 19,Sun,Away,W,3,1,Aston Villa,2.6,0.4,58,41907,Jorginho,3-4-3,Martin Atkinson,Match Report,
2021-12-29,19:30 (21:30),Premier League,Matchweek 20,Wed,Home,D,1,1,Brighton,0.7,0.9,47,40080,César Azpilicueta,3-4-3,Mike Dean,Match Report,
2022-01-02,16:30 (18:30),Premier League,Matchweek 21,Sun,Home,D,2,2,Liverpool,1.2,1.3,54,40072,César Azpilicueta,3-4-3,Anthony Taylor,Match Report,
2022-01-05,19:45 (21:45),EFL Cup,Semi-finals,Wed,Home,W,2,0,Tottenham,,,64,37868,César Azpilicueta,4-2-3-1,Craig Pawson,Match Report,Leg 1 of 2
2022-01-08,17:30 (19:30),FA Cup,Third round proper,Sat,Home,W,5,1,Chesterfield,,,67,39795,Mateo Kovačić,3-4-3,Jarred Gillett,Match Report,
2022-01-12,19:45 (21:45),EFL Cup,Semi-finals,Wed,Away,W,1,0,Tottenham,,,64,45603,César Azpilicueta,4-2-2-2,Andre Marriner,Match Report,Leg 2 of 2; Chelsea won
2022-01-15,12:30 (14:30),Premier League,Matchweek 22,Sat,Away,L,0,1,Manchester City,0.3,1.0,44,53319,César Azpilicueta,3-4-3,Craig Pawson,Match Report,
2022-01-18,20:00 (22:00),Premier League,Matchweek 24,Tue,Away,D,1,1,Brighton,0.7,0.7,56,30880,César Azpilicueta,4-2-2-2,Kevin Friend,Match Report,
2022-01-23,16:30 (18:30),Premier League,Matchweek 23,Sun,Home,W,2,0,Tottenham,1.2,0.5,64,40020,César Azpilicueta,4-3-3,Paul Tierney,Match Report,
2022-02-05,12:30 (14:30),FA Cup,Fourth round proper,Sat,Home,W,2,1,Plymouth Argyle,,,72,35959,César Azpilicueta,4-3-3,Simon Hooper,Match Report,Required Extra Time
2022-02-19,15:00 (17:00),Premier League,Matchweek 26,Sat,Away,W,1,0,Crystal Palace,0.9,0.5,58,25109,Jorginho,4-3-3,David Coote,Match Report,
2022-02-22,20:00 (22:00),Champions Lg,Round of 16,Tue,Home,W,2,0,fr Lille,1.2,0.8,50,38832,César Azpilicueta,3-4-3,Jesús Gil,Match Report,Leg 1 of 2
2022-02-27,16:30 (18:30),EFL Cup,Final,Sun,Home,D,0 (10),0 (11),Liverpool,,,46,88512,César Azpilicueta,3-4-3,Stuart Attwell,Match Report,Liverpool won on penalty kicks following extra time
2022-03-02,19:15 (21:15),FA Cup,Fifth round proper,Wed,Away,W,3,2,Luton Town,,,75,10140,Jorginho,3-4-3,Peter Bankes,Match Report,
2022-03-05,15:00 (17:00),Premier League,Matchweek 28,Sat,Away,W,4,0,Burnley,2.3,0.7,72,19439,Jorginho,3-4-3,Andre Marriner,Match Report,
2022-03-10,19:30 (21:30),Premier League,Matchweek 30,Thu,Away,W,3,1,Norwich City,1.8,1.0,66,26684,César Azpilicueta,3-4-3,Martin Atkinson,Match Report,
2022-03-13,14:00 (16:00),Premier League,Matchweek 29,Sun,Home,W,1,0,Newcastle Utd,1.1,0.3,71,40026,Jorginho,4-3-3,David Coote,Match Report,
2022-03-16,21:00 (22:00),Champions Lg,Round of 16,Wed,Away,W,2,1,fr Lille,1.0,1.7,56,49048,César Azpilicueta,3-5-2,Davide Massa,Match Report,Leg 2 of 2; Chelsea won
2022-03-19,17:15 (19:15),FA Cup,Quarter-finals,Sat,Away,W,2,0,Middlesbrough,,,61,31422,César Azpilicueta,4-2-3-1,Paul Tierney,Match Report,
2022-04-02,15:00 (16:00),Premier League,Matchweek 31,Sat,Home,L,1,4,Brentford,1.3,1.8,70,39061,César Azpilicueta,4-3-3,Andy Madley,Match Report,
2022-04-06,20:00 (21:00),Champions Lg,Quarter-finals,Wed,Home,L,1,3,es Real Madrid,1.3,1.8,57,38689,César Azpilicueta,3-4-3,Clément Turpin,Match Report,Leg 1 of 2
2022-04-09,15:00 (16:00),Premier League,Matchweek 32,Sat,Away,W,6,0,Southampton,4.2,0.5,70,31359,N'Golo Kanté,3-4-1-2,Kevin Friend,Match Report,
2022-04-12,21:00,Champions Lg,Quarter-finals,Tue,Away,W,3,2,es Real Madrid,2.7,1.2,57,59839,N'Golo Kanté,3-4-1-2,Szymon Marciniak,Match Report,Leg 2 of 2; Real Madrid won; Required Extra Time
2022-04-17,16:30 (17:30),FA Cup,Semi-finals,Sun,Home,W,2,0,Crystal Palace,,,67,76238,César Azpilicueta,3-4-1-2,Anthony Taylor,Match Report,
2022-04-20,19:45 (20:45),Premier League,Matchweek 25,Wed,Home,L,2,4,Arsenal,0.7,2.0,67,32249,César Azpilicueta,3-4-1-2,Jonathan Moss,Match Report,
2022-04-24,14:00 (15:00),Premier League,Matchweek 34,Sun,Home,W,1,0,West Ham,3.0,0.5,66,32231,César Azpilicueta,3-4-1-2,Michael Oliver,Match Report,
2022-04-28,19:45 (20:45),Premier League,Matchweek 37,Thu,Away,D,1,1,Manchester Utd,1.9,0.5,64,73564,César Azpilicueta,3-4-1-2,Mike Dean,Match Report,
2022-05-01,14:00 (15:00),Premier League,Matchweek 35,Sun,Away,L,0,1,Everton,0.8,0.8,77,39256,César Azpilicueta,3-4-1-2,Kevin Friend,Match Report,
2022-05-07,15:00 (16:00),Premier League,Matchweek 36,Sat,Home,D,2,2,Wolves,1.7,2.0,59,32190,César Azpilicueta,3-4-1-2,Peter Bankes,Match Report,
2022-05-11,19:30 (20:30),Premier League,Matchweek 33,Wed,Away,W,3,0,Leeds United,1.3,0.4,67,36549,Jorginho,3-4-3,Anthony Taylor,Match Report,
2022-05-14,16:45 (17:45),FA Cup,Final,Sat,Home,D,0 (5),0 (6),Liverpool,,,47,84897,Jorginho,3-4-3,Craig Pawson,Match Report,Liverpool won on penalty kicks following extra time
2022-05-19,20:00 (21:00),Premier League,Matchweek 27,Thu,Home,D,1,1,Leicester City,1.6,0.1,67,31478,Jorginho,3-4-3,Stuart Attwell,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,W,2,1,Watford,2.2,0.6,71,32089,César Azpilicueta,3-4-3,Mike Dean,Match Report,
