Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-02-13,14:00 (16:00),Premier League,Matchweek 25,Sun,Home,W,1,0,Aston Villa,0.5,0.6,38,52207,Kieran Trippier,4-3-3,Craig Pawson,Match Report,
2022-02-19,12:30 (14:30),Premier League,Matchweek 26,Sat,Away,D,1,1,West Ham,0.8,0.6,53,59949,Jonjo Shelvey,4-3-3,Chris Kavanagh,Match Report,
2022-02-26,15:00 (17:00),Premier League,Matchweek 27,Sat,Away,W,2,0,Brentford,2.7,0.4,63,17039,Jonjo Shelvey,4-3-3,Mike Dean,Match Report,
2022-03-05,15:00 (17:00),Premier League,Matchweek 28,Sat,Home,W,2,1,Brighton,1.7,1.5,32,52214,Jonjo Shelvey,4-3-3,Martin Atkinson,Match Report,
2022-03-10,19:30 (21:30),Premier League,Matchweek 21,Thu,Away,W,2,1,Southampton,0.6,1.1,33,30056,Jonjo Shelvey,4-3-3,Kevin Friend,Match Report,
2022-03-13,14:00 (16:00),Premier League,Matchweek 29,Sun,Away,L,0,1,Chelsea,0.3,1.1,29,40026,Jamaal Lascelles,5-4-1,David Coote,Match Report,
2022-03-17,19:45 (21:45),Premier League,Matchweek 20,Thu,Away,L,0,1,Everton,0.9,0.7,61,39068,Fabian Schär,4-3-3,Craig Pawson,Match Report,
2022-04-03,16:30 (17:30),Premier League,Matchweek 31,Sun,Away,L,1,5,Tottenham,0.5,3.1,40,57553,Jonjo Shelvey,4-3-3,Martin Atkinson,Match Report,
2022-04-08,20:00 (21:00),Premier League,Matchweek 32,Fri,Home,W,1,0,Wolves,1.5,0.4,42,52164,Jonjo Shelvey,4-3-3,Peter Bankes,Match Report,
2022-04-17,14:15 (15:15),Premier League,Matchweek 33,Sun,Home,W,2,1,Leicester City,1.8,0.6,32,52104,Jonjo Shelvey,4-3-3,Jarred Gillett,Match Report,
2022-04-20,19:45 (20:45),Premier League,Matchweek 30,Wed,Home,W,1,0,Crystal Palace,0.9,0.5,37,51938,Jonjo Shelvey,4-3-3,Tony Harrington,Match Report,
2022-04-23,15:00 (16:00),Premier League,Matchweek 34,Sat,Away,W,3,0,Norwich City,1.9,0.6,54,26910,Jamaal Lascelles,4-3-3,Chris Kavanagh,Match Report,
2022-04-30,12:30 (13:30),Premier League,Matchweek 35,Sat,Home,L,0,1,Liverpool,0.2,2.3,36,52281,Jonjo Shelvey,4-3-3,Andre Marriner,Match Report,
2022-05-08,16:30 (17:30),Premier League,Matchweek 36,Sun,Away,L,0,5,Manchester City,0.8,3.1,29,53336,Jamaal Lascelles,4-3-3,Stuart Attwell,Match Report,
2022-05-16,20:00 (21:00),Premier League,Matchweek 37,Mon,Home,W,2,0,Arsenal,1.6,0.6,51,52274,Callum Wilson,4-3-3,Darren England,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Away,W,2,1,Burnley,1.8,1.6,48,21361,Jamaal Lascelles,4-3-3,Craig Pawson,Match Report,
