Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-01-11,19:45 (21:45),Premier League,Matchweek 18,Tue,Away,L,1,4,Southampton,0.5,1.4,52,27383,Pontus Jansson,3-5-2,Stuart Attwell,Match Report,
2022-01-16,14:00 (16:00),Premier League,Matchweek 22,Sun,Away,L,0,3,Liverpool,0.7,2.7,32,52824,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,
2022-01-19,20:00 (22:00),Premier League,Matchweek 17,Wed,Home,L,1,3,Manchester Utd,2.3,2.3,44,17094,Pontus Jansson,3-5-2,Andre Marriner,Match Report,
2022-01-22,15:00 (17:00),Premier League,Matchweek 23,Sat,Home,L,1,2,Wolves,1.1,0.2,50,16982,Pontus Jansson,3-5-2,Peter Bankes,Match Report,
2022-02-05,15:00 (17:00),FA Cup,Fourth round proper,Sat,Away,L,1,4,Everton,,,44,37310,Pontus Jansson,3-5-2,Michael Oliver,Match Report,
2022-02-09,19:45 (21:45),Premier League,Matchweek 24,Wed,Away,L,0,2,Manchester City,0.4,1.9,26,51658,Pontus Jansson,3-5-2,Darren England,Match Report,
2022-02-12,15:00 (17:00),Premier League,Matchweek 25,Sat,Home,D,0,0,Crystal Palace,1.6,0.3,42,16958,Pontus Jansson,3-5-2,Simon Hooper,Match Report,
2022-02-19,15:00 (17:00),Premier League,Matchweek 26,Sat,Away,L,1,2,Arsenal,0.6,1.7,34,59249,Pontus Jansson,3-5-2,Jonathan Moss,Match Report,
2022-02-26,15:00 (17:00),Premier League,Matchweek 27,Sat,Home,L,0,2,Newcastle Utd,0.4,2.7,37,17039,Pontus Jansson,4-3-3,Mike Dean,Match Report,
2022-03-05,15:00 (17:00),Premier League,Matchweek 28,Sat,Away,W,3,1,Norwich City,2.0,1.0,40,26887,Pontus Jansson,4-5-1,Anthony Taylor,Match Report,
2022-03-12,15:00 (17:00),Premier League,Matchweek 29,Sat,Home,W,2,0,Burnley,1.9,0.7,55,17088,Pontus Jansson,4-5-1,Paul Tierney,Match Report,
2022-03-20,14:00 (16:00),Premier League,Matchweek 30,Sun,Away,L,1,2,Leicester City,1.3,1.0,48,31830,Pontus Jansson,4-5-1,Darren England,Match Report,
2022-04-02,15:00 (16:00),Premier League,Matchweek 31,Sat,Away,W,4,1,Chelsea,1.8,1.3,30,39061,Pontus Jansson,5-3-2,Andy Madley,Match Report,
2022-04-10,14:00 (15:00),Premier League,Matchweek 32,Sun,Home,W,2,0,West Ham,1.4,0.3,47,17032,Christian Nørgaard,4-3-3,Martin Atkinson,Match Report,
2022-04-16,15:00 (16:00),Premier League,Matchweek 33,Sat,Away,W,2,1,Watford,1.9,1.7,50,21045,Pontus Jansson,4-3-3,Simon Hooper,Match Report,
2022-04-23,17:30 (18:30),Premier League,Matchweek 34,Sat,Home,D,0,0,Tottenham,0.9,0.6,44,17072,Pontus Jansson,5-3-2,Martin Atkinson,Match Report,
2022-05-02,20:00 (21:00),Premier League,Matchweek 35,Mon,Away,L,0,3,Manchester Utd,0.6,2.0,37,73482,Pontus Jansson,5-3-2,Chris Kavanagh,Match Report,
2022-05-07,15:00 (16:00),Premier League,Matchweek 36,Sat,Home,W,3,0,Southampton,2.6,1.4,41,17051,Pontus Jansson,4-3-3,Michael Salisbury,Match Report,
2022-05-15,16:30 (17:30),Premier League,Matchweek 37,Sun,Away,W,3,2,Everton,1.4,2.1,72,38819,Pontus Jansson,4-3-3,Michael Oliver,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,L,1,2,Leeds United,0.8,1.3,49,16957,Pontus Jansson,4-3-3,Paul Tierney,Match Report,
