Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-10-24,14:00 (15:00),Premier League,Matchweek 9,Sun,Away,L,0,1,West Ham,0.7,1.3,62,59924,Hugo Lloris,4-2-3-1,Paul Tierney,Match Report,
2021-10-27,19:45 (20:45),EFL Cup,Fourth round,Wed,Away,W,1,0,Burnley,,,62,14637,Harry Kane,4-2-3-1,Peter Bankes,Match Report,
2021-10-30,17:30 (18:30),Premier League,Matchweek 10,Sat,Home,L,0,3,Manchester Utd,1.0,1.5,58,60356,Hugo Lloris,4-2-3-1,Stuart Attwell,Match Report,
2021-11-04,20:00 (22:00),Conf Lg,Group stage,Thu,Home,W,3,2,nl Vitesse,2.3,1.0,52,36312,Hugo Lloris,3-4-3,Marco Di Bello,Match Report,
2021-11-07,14:00 (16:00),Premier League,Matchweek 11,Sun,Away,D,0,0,Everton,0.7,0.6,55,39059,Hugo Lloris,3-4-3,Chris Kavanagh,Match Report,
2021-11-21,16:30 (18:30),Premier League,Matchweek 12,Sun,Home,W,2,1,Leeds United,2.1,1.4,43,58989,Hugo Lloris,3-4-3,Andre Marriner,Match Report,
2021-11-25,18:45 (19:45),Conf Lg,Group stage,Thu,Away,L,1,2,si NŠ Mura,1.2,0.5,58,6100,Harry Kane,3-4-3,António Nobre,Match Report,
2021-12-02,19:30 (21:30),Premier League,Matchweek 14,Thu,Home,W,2,0,Brentford,1.9,0.3,47,54202,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
2021-12-05,14:00 (16:00),Premier League,Matchweek 15,Sun,Home,W,3,0,Norwich City,1.6,1.2,41,57088,Hugo Lloris,3-4-3,Jarred Gillett,Match Report,
2021-12-09,20:00 (22:00),Conf Lg,Group stage,Thu,Home,L,0,3,fr Rennes,,,,,,,,Match Report,Match awarded to Rennes
2021-12-19,16:30 (18:30),Premier League,Matchweek 18,Sun,Home,D,2,2,Liverpool,3.0,1.1,44,45421,Hugo Lloris,5-3-2,Paul Tierney,Match Report,
2021-12-22,19:45 (21:45),EFL Cup,Quarter-finals,Wed,Home,W,2,1,West Ham,,,43,40031,Hugo Lloris,3-4-3,Chris Kavanagh,Match Report,
2021-12-26,15:00 (17:00),Premier League,Matchweek 19,Sun,Home,W,3,0,Crystal Palace,2.3,0.2,60,40539,Hugo Lloris,3-4-3,Jonathan Moss,Match Report,
