--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,17:15 (18:15),Community Shield,FA Community Shield,Sat,Neutral,L,0,1,Leicester City,,,57,,Fernandinho,4-3-3,Paul Tierney,Match Report,
2021-08-15,16:30 (17:30),Premier League,Matchweek 1,Sun,Away,L,0,1,Tottenham,1.8,1.0,65,58262,Fernandinho,4-3-3,Anthony Taylor,Match Report,
2021-08-21,15:00 (16:00),Premier League,Matchweek 2,Sat,Home,W,5,0,Norwich City,2.6,0.1,67,51437,İlkay Gündoğan,4-3-3,Graham Scott,Match Report,
2021-08-28,12:30 (13:30),Premier League,Matchweek 3,Sat,Home,W,5,0,Arsenal,4.4,0.2,80,52276,İlkay Gündoğan,4-3-3,Martin Atkinson,Match Report,
2021-09-11,15:00 (16:00),Premier League,Matchweek 4,Sat,Away,W,1,0,Leicester City,2.8,0.6,61,32087,İlkay Gündoğan,4-3-3,Paul Tierney,Match Report,
2021-09-15,20:00 (21:00),Champions Lg,Group stage,Wed,Home,W,6,3,de RB Leipzig,2.3,1.3,50,38062,Rúben Dias,4-3-3,Serdar Gözübüyük,Match Report,
2021-09-18,15:00 (16:00),Premier League,Matchweek 5,Sat,Home,D,0,0,Southampton,1.0,0.4,64,52698,Fernandinho,4-3-3,Jonathan Moss,Match Report,
2021-09-21,19:45 (20:45),EFL Cup,Third round,Tue,Home,W,6,1,Wycombe,,,79,30959,Kevin De Bruyne,4-3-3,Robert Jones,Match Report,
2021-09-25,12:30 (13:30),Premier League,Matchweek 6,Sat,Away,W,1,0,Chelsea,1.7,0.2,59,40036,Rúben Dias,4-3-3,Michael Oliver,Match Report,
2021-09-28,21:00,Champions Lg,Group stage,Tue,Away,L,0,2,fr Paris S-G,1.9,0.4,54,37350,Rúben Dias,4-3-3,Carlos del Cerro,Match Report,
2021-10-03,16:30 (17:30),Premier League,Matchweek 7,Sun,Away,D,2,2,Liverpool,1.2,0.9,51,53102,Rúben Dias,4-3-3,Paul Tierney,Match Report,
2021-10-16,15:00 (16:00),Premier League,Matchweek 8,Sat,Home,W,2,0,Burnley,2.1,0.9,70,52711,Kevin De Bruyne,4-3-3,Martin Atkinson,Match Report,
2021-10-19,18:45,Champions Lg,Group stage,Tue,Away,W,5,1,be Club Brugge,4.7,0.6,63,24915,Rúben Dias,4-3-3,István Kovács,Match Report,
2021-10-23,17:30 (18:30),Premier League,Matchweek 9,Sat,Away,W,4,1,Brighton,3.8,1.3,52,31215,İlkay Gündoğan,4-3-3,Kevin Friend,Match Report,
2021-10-27,19:45 (20:45),EFL Cup,Fourth round,Wed,Away,D,0 (3),0 (5),West Ham,,,64,60000,Fernandinho,4-3-3,Jonathan Moss,Match Report,West Ham won on penalty kicks following extra time
2021-10-30,15:00 (16:00),Premier League,Matchweek 10,Sat,Home,L,0,2,Crystal Palace,0.7,0.7,68,53014,Rúben Dias,4-3-3,Andre Marriner,Match Report,
2021-11-03,20:00 (22:00),Champions Lg,Group stage,Wed,Home,W,4,1,be Club Brugge,4.6,0.8,70,50228,İlkay Gündoğan,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-11-06,12:30 (14:30),Premier League,Matchweek 11,Sat,Away,W,2,0,Manchester Utd,1.6,0.9,67,73086,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2021-11-21,14:00 (16:00),Premier League,Matchweek 12,Sun,Home,W,3,0,Everton,2.5,0.2,77,52571,İlkay Gündoğan,4-3-3,Stuart Attwell,Match Report,
2021-11-24,20:00 (22:00),Champions Lg,Group stage,Wed,Home,W,2,1,fr Paris S-G,2.1,1.0,54,52030,İlkay Gündoğan,4-3-3,Daniele Orsato,Match Report,
2021-11-28,14:00 (16:00),Premier League,Matchweek 13,Sun,Home,W,2,1,West Ham,2.1,0.2,68,53245,İlkay Gündoğan,4-3-3,Michael Oliver,Match Report,
2021-12-01,20:15 (22:15),Premier League,Matchweek 14,Wed,Away,W,2,1,Aston Villa,1.0,0.8,64,41400,Fernandinho,4-2-3-1,Mike Dean,Match Report,
2021-12-04,17:30 (19:30),Premier League,Matchweek 15,Sat,Away,W,3,1,Watford,3.1,0.8,77,20673,İlkay Gündoğan,4-3-3,Simon Hooper,Match Report,
