Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-03-16,20:15 (22:15),Premier League,Matchweek 27,Wed,Home,L,0,2,Liverpool,0.5,0.8,49,59968,Alexandre Lacazette,4-2-3-1,Andre Marriner,Match Report,
2022-03-19,12:30 (14:30),Premier League,Matchweek 30,Sat,Away,W,1,0,Aston Villa,1.3,0.5,53,41956,Alexandre Lacazette,4-2-3-1,Andy Madley,Match Report,
2022-04-04,20:00 (21:00),Premier League,Matchweek 31,Mon,Away,L,0,3,Crystal Palace,0.8,1.5,68,25149,Alexandre Lacazette,4-2-3-1,Paul Tierney,Match Report,
2022-04-09,15:00 (16:00),Premier League,Matchweek 32,Sat,Home,L,1,2,Brighton,1.9,0.6,64,60112,Alexandre Lacazette,4-2-3-1,David Coote,Match Report,
2022-04-16,15:00 (16:00),Premier League,Matchweek 33,Sat,Away,L,0,1,Southampton,1.7,0.8,75,31465,Martin Ødegaard,4-2-3-1,Peter Bankes,Match Report,
2022-04-20,19:45 (20:45),Premier League,Matchweek 25,Wed,Away,W,4,2,Chelsea,2.0,0.7,33,32249,Martin Ødegaard,4-2-3-1,Jonathan Moss,Match Report,
2022-04-23,12:30 (13:30),Premier League,Matchweek 34,Sat,Home,W,3,1,Manchester Utd,2.3,1.8,54,60223,Martin Ødegaard,4-2-3-1,Craig Pawson,Match Report,
2022-05-01,16:30 (17:30),Premier League,Matchweek 35,Sun,Away,W,2,1,West Ham,0.9,0.5,43,59959,Martin Ødegaard,4-2-3-1,Mike Dean,Match Report,
2022-05-08,14:00 (15:00),Premier League,Matchweek 36,Sun,Home,W,2,1,Leeds United,2.0,0.3,64,60108,Martin Ødegaard,4-2-3-1,Chris Kavanagh,Match Report,
2022-05-12,19:45 (20:45),Premier League,Matchweek 22,Thu,Away,L,0,3,Tottenham,0.5,2.7,43,62027,Martin Ødegaard,4-3-3,Paul Tierney,Match Report,
2022-05-16,20:00 (21:00),Premier League,Matchweek 37,Mon,Away,L,0,2,Newcastle Utd,0.6,1.6,49,52274,Martin Ødegaard,4-2-3-1,Darren England,Match Report,
2022-05-22,16:00 (17:00),Premier League,Matchweek 38,Sun,Home,W,5,1,Everton,4.2,1.1,73,60201,Martin Ødegaard,4-2-3-1,Andre Marriner,Match Report,
