,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
1038,   Diogo Jota ,20,POR,FW,24-170,1,0,0,0,0,0,0,0,0,3,0,0,0
1039,Sadio Mané ,10,SEN,LW,29-043,90,2,0,0,0,3,2,0,0,66,2,1,2
1040,Mohamed Salah ,11,EGY,RW,28-342,90,0,1,0,0,6,2,0,0,51,0,0,2
1041,Georginio Wijnaldum ,5,NED,LM,30-193,77,0,0,0,0,1,0,0,0,40,0,1,1
1042,   James Milner ,7,ENG,"LM,LB",35-139,13,0,0,0,0,0,0,1,0,13,2,1,0
1043,Fabinho ,3,BRA,CM,27-212,90,0,0,0,0,0,0,0,0,75,0,1,1
1044,Thiago Alcántara ,6,ESP,RM,30-042,90,0,0,0,0,0,0,0,0,89,5,3,1
1045,Andrew Robertson ,26,SCO,LB,27-073,89,0,0,0,0,1,0,0,0,79,3,1,0
1046,   Alex Oxlade-Chamberlain ,15,ENG,"LM,LB",27-281,1,0,0,0,0,0,0,0,0,0,0,0,0
1047,Rhys Williams ,46,ENG,CB,20-109,90,0,0,0,0,4,0,0,0,80,0,0,0
1048,Nathaniel Phillips ,47,ENG,CB,24-063,90,0,0,0,0,1,0,0,0,77,1,1,0
1049,Trent Alexander-Arnold ,66,ENG,RB,22-228,90,0,0,0,0,1,0,1,0,92,1,1,2
1050,Alisson ,1,BRA,GK,28-233,90,0,0,0,0,0,0,0,0,27,0,0,0
