,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
837,Thiago Alcántara ,6,ESP,RM,29-302,67,0,0,0,0,1,0,1,0,70,3,1,1
838,   Xherdan Shaqiri ,23,SUI,RM,29-120,23,0,0,0,0,0,0,0,0,17,1,0,0
839,Andrew Robertson ,26,SCO,LB,26-333,84,0,0,0,0,0,0,0,0,72,1,0,0
840,   Kostas Tsimikas ,21,GRE,LB,24-271,6,0,0,0,0,0,0,0,0,10,0,0,0
841,Jordan Henderson ,14,ENG,CB,30-235,90,0,0,0,0,0,0,0,0,114,2,2,0
842,Fabinho ,3,BRA,CB,27-107,90,0,0,0,0,0,0,1,0,106,2,1,0
843,Trent Alexander-Arnold ,66,ENG,RB,22-123,90,0,0,0,0,0,0,0,0,85,5,3,1
844,Alisson ,1,BRA,GK,28-128,90,0,0,0,0,0,0,0,0,47,0,0,0
845,Roberto Firmino ,9,BRA,FW,29-134,90,0,1,0,0,4,2,0,0,47,2,0,0
846,Sadio Mané ,10,SEN,LW,28-309,90,0,0,0,0,2,0,0,0,52,1,0,1
847,Mohamed Salah ,11,EGY,RW,28-243,90,1,0,0,0,3,2,0,0,42,0,0,0
848,Curtis Jones ,17,ENG,LM,20-014,74,0,0,0,0,1,0,1,0,55,0,2,2
849,   Alex Oxlade-Chamberlain ,15,ENG,LM,27-182,16,0,0,0,0,0,0,0,0,12,0,0,0
850,Georginio Wijnaldum ,5,NED,CM,30-094,86,0,0,0,0,0,0,0,0,45,0,1,0
851,   Xherdan Shaqiri ,23,SUI,RM,29-126,4,0,0,0,0,0,0,0,0,7,0,0,0
852,James Milner ,7,ENG,RM,35-040,16,0,0,0,0,0,0,0,0,12,0,1,0
853,   Thiago Alcántara ,6,ESP,"RM,CM",29-308,74,0,0,0,0,0,0,0,0,60,3,2,2
854,Andrew Robertson ,26,SCO,LB,26-339,90,0,0,0,0,2,0,0,0,105,3,2,2
855,Jordan Henderson ,14,ENG,CB,30-241,90,0,0,0,0,0,0,0,0,91,1,4,1
856,Ozan Kabak ,19,TUR,CB,20-325,90,0,0,0,0,0,0,1,0,58,3,0,1
857,Trent Alexander-Arnold ,66,ENG,RB,22-129,90,0,0,0,0,3,0,0,0,121,9,2,1
858,Alisson ,1,BRA,GK,28-134,90,0,0,0,0,0,0,0,0,36,1,0,0
859,Roberto Firmino ,9,BRA,FW,29-141,90,0,0,0,0,4,1,0,0,47,2,0,1
860,Sadio Mané ,10,SEN,"LW,LM",28-316,90,0,0,0,0,2,1,1,0,50,0,0,1
861,Mohamed Salah ,11,EGY,"RW,RM",28-250,90,0,0,0,0,1,1,0,0,54,1,0,0
862,Thiago Alcántara ,6,ESP,LM,29-315,86,0,0,0,0,0,0,0,0,100,4,0,0
863,   Divock Origi ,27,BEL,FW,25-308,4,0,0,0,0,0,0,0,0,4,0,0,0
864,Georginio Wijnaldum ,5,NED,CM,30-101,90,0,0,0,0,2,1,0,0,62,0,0,1
865,Curtis Jones ,17,ENG,RM,20-021,62,0,0,0,0,1,0,0,0,55,0,2,2
866,   Xherdan Shaqiri ,23,SUI,"RM,CM",29-133,28,0,0,0,0,0,0,0,0,25,0,0,0
867,Andrew Robertson ,26,SCO,LB,26-346,90,0,0,0,0,0,0,0,0,90,3,1,1
868,Jordan Henderson ,14,ENG,CB,30-248,29,0,0,0,0,1,1,0,0,34,0,1,0
869,   Nathaniel Phillips ,47,ENG,CB,23-336,61,0,0,0,0,2,0,0,0,73,2,1,0
870,Ozan Kabak ,19,TUR,CB,20-332,90,0,0,0,0,0,0,1,0,95,2,3,0
871,Trent Alexander-Arnold ,66,ENG,RB,22-136,90,0,0,0,0,2,1,0,0,130,2,2,2
872,Alisson ,1,BRA,GK,28-141,90,0,0,0,0,0,0,0,0,35,0,0,0
873,Roberto Firmino ,9,BRA,FW,29-149,90,0,0,0,0,2,1,0,0,62,0,1,3
874,Sadio Mané ,10,SEN,LW,28-324,90,0,0,0,0,0,0,0,0,43,1,0,1
875,Mohamed Salah ,11,EGY,RW,28-258,90,0,0,0,0,3,1,0,0,50,0,0,0
876,Curtis Jones ,17,ENG,LM,20-029,79,1,0,0,0,4,3,0,0,40,0,1,1
877,   Naby Keïta ,8,GUI,LM,26-018,11,0,0,0,0,0,0,0,0,13,0,0,0
878,Georginio Wijnaldum ,5,NED,CM,30-109,90,0,0,0,0,1,1,0,0,63,0,0,0
879,Thiago Alcántara ,6,ESP,RM,29-323,75,0,0,0,0,0,0,0,0,63,2,0,0
880,   James Milner ,7,ENG,RM,35-055,15,0,0,0,0,0,0,0,0,25,2,1,0
881,Andrew Robertson ,26,SCO,LB,26-354,90,0,0,0,0,2,1,0,0,91,1,0,1
882,Ozan Kabak ,19,TUR,CB,20-340,90,0,0,0,0,0,0,0,0,80,3,0,0
883,Nathaniel Phillips ,47,ENG,CB,23-344,90,0,0,0,0,1,0,0,0,82,1,0,3
884,Trent Alexander-Arnold ,66,ENG,RB,22-144,90,0,0,0,0,3,1,0,0,123,2,2,1
885,Adrián ,13,ESP,GK,34-056,90,0,0,0,0,0,0,0,0,41,0,0,0
886,Roberto Firmino ,9,BRA,FW,29-153,90,0,0,0,0,1,0,0,0,50,1,2,1
887,Sadio Mané ,10,SEN,"LW,RW",28-328,90,0,0,0,0,0,0,0,0,37,2,0,1
888,Mohamed Salah ,11,EGY,RW,28-262,61,0,0,0,0,1,0,0,0,50,2,0,1
889,   Alex Oxlade-Chamberlain ,15,ENG,LM,27-201,29,0,0,0,0,0,0,0,0,22,2,1,0
890,Curtis Jones ,17,ENG,LM,20-033,61,0,0,0,0,1,0,0,0,54,0,1,0
891,   Diogo Jota ,20,POR,LW,24-090,29,0,0,0,0,0,0,0,0,7,0,0,0
892,Georginio Wijnaldum ,5,NED,CM,30-113,90,0,0,0,0,1,1,0,0,67,1,1,1
893,Thiago Alcántara ,6,ESP,RM,29-327,79,0,0,0,0,0,0,0,0,81,2,0,1
894,   James Milner ,7,ENG,RM,35-059,11,0,0,0,0,0,0,0,0,16,0,1,0
895,Andrew Robertson ,26,SCO,LB,26-358,90,0,0,0,0,1,0,0,0,100,1,1,1
896,Ozan Kabak ,19,TUR,CB,20-344,90,0,0,0,0,0,0,0,0,87,1,2,1
897,Fabinho ,3,BRA,CB,27-132,90,0,0,0,0,1,0,0,0,82,1,2,1
898,Trent Alexander-Arnold ,66,ENG,RB,22-148,90,0,0,0,0,1,0,0,0,108,1,1,2
899,Alisson ,1,BRA,GK,28-153,90,0,0,0,0,0,0,0,0,49,0,0,0
900,Mohamed Salah ,11,EGY,FW,28-265,90,0,0,0,0,3,1,0,0,28,0,0,0
901,Diogo Jota ,20,POR,"LW,FW",24-093,90,0,0,0,0,1,1,1,0,44,1,0,0
902,Xherdan Shaqiri ,23,SUI,"RW,RM",29-148,90,0,0,0,0,3,0,0,0,81,0,1,2
903,Naby Keïta ,8,GUI,"LM,CM",26-025,90,0,0,0,0,2,1,1,0,85,1,1,2
