,Player,shirt_number,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks
7677,Ollie Watkins ,11,ENG,FW,27-072,84,1,0,0,0,4,3,0,0,30,1,0,1
7678,   Calum Chambers ,16,ENG,DM,28-051,6,0,0,0,0,0,0,0,0,4,0,0,0
7679,Jacob Ramsey ,41,ENG,"LW,LM",21-288,90,0,0,0,0,0,0,0,0,52,3,1,0
7680,Leon Bailey ,31,JAM,RW,25-215,63,0,0,0,0,2,0,0,0,26,0,0,2
7681,   Bertrand Traoré ,9,BFA,"RW,RM",27-187,27,0,0,0,0,1,0,0,0,18,0,0,2
7682,Emi Buendía ,10,ARG,AM,26-077,79,0,0,0,0,1,0,0,0,54,2,1,0
7683,   Jhon Durán ,22,COL,FW,19-089,11,0,0,0,0,2,1,0,0,6,0,0,0
7684,Douglas Luiz ,6,BRA,"DM,CM",24-307,90,0,0,0,0,0,0,0,0,86,2,0,2
7685,John McGinn ,7,SCO,"DM,AM,CM",28-145,90,0,0,0,0,1,0,0,0,62,1,2,0
7686,Álex Moreno ,15,ESP,LB,29-277,63,0,1,0,0,0,0,0,0,55,1,1,3
7687,   Lucas Digne ,27,FRA,LB,29-235,27,0,0,0,0,0,0,0,0,21,1,0,0
7688,Tyrone Mings ,5,ENG,CB,29-364,90,0,0,0,0,0,0,0,0,99,1,1,1
7689,Ezri Konsa ,4,ENG,CB,25-140,90,0,0,0,0,1,0,0,0,66,0,0,1
7690,Matty Cash ,2,POL,RB,25-217,79,0,0,0,0,0,0,0,0,59,0,0,1
7691,   Ashley Young ,18,ENG,RB,37-246,11,0,0,0,0,0,0,0,0,9,0,0,1
7692,Emiliano Martínez ,1,ARG,GK,30-191,90,0,0,0,0,0,0,0,0,52,0,0,0
7693,Alexander Isak ,14,SWE,FW,23-172,67,1,0,0,0,4,2,1,0,30,2,0,3
7694,   Callum Wilson ,9,ENG,FW,31-013,23,0,0,0,0,0,0,0,0,7,0,0,0
7695,Allan Saint-Maximin ,10,FRA,LW,26-000,67,0,0,0,0,2,0,0,0,44,0,0,0
7696,   Miguel Almirón ,24,PAR,RW,29-030,23,1,0,0,0,1,1,0,0,12,0,0,0
7697,Jacob Murphy ,23,ENG,"RW,LW",28-016,84,0,0,0,0,2,1,0,0,31,1,0,0
7698,   Matt Ritchie ,11,SCO,LW,33-183,6,0,0,0,0,0,0,0,0,1,0,0,0
7699,Joe Willock ,28,ENG,LM,23-204,90,0,1,0,0,3,2,0,0,46,2,1,3
7700,Bruno Guimarães ,39,BRA,CM,25-116,90,0,0,0,0,1,0,0,0,36,3,0,1
7701,Sean Longstaff ,36,ENG,RM,25-133,90,0,0,0,0,0,0,0,0,33,1,0,0
7702,Dan Burn ,33,ENG,LB,30-307,90,0,0,0,0,0,0,0,0,50,1,2,1
7703,Sven Botman ,4,NED,CB,23-059,90,0,0,0,0,2,0,0,0,44,1,2,0
7704,Fabian Schär ,5,SUI,CB,31-082,90,0,0,0,0,1,1,0,0,43,1,0,0
7705,Kieran Trippier ,2,ENG,RB,32-174,90,0,1,0,0,3,1,0,0,75,1,0,0
7706,Nick Pope ,22,ENG,GK,30-327,90,0,0,0,0,0,0,0,0,26,0,0,0
7707,Raúl Jiménez ,9,MEX,FW,31-311,90,0,0,0,0,1,1,0,0,34,0,0,1
7708,Daniel Podence ,10,POR,"LW,AM",27-142,68,0,0,0,0,1,0,1,0,31,2,0,0
